country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AR,Argentina,Chubut Province,,2020-03-04,-4,-3,-8,1,14,-1
AR,Argentina,Chubut Province,,2020-03-05,-2,2,-19,-9,14,-1
AR,Argentina,Chubut Province,,2020-03-06,2,10,-25,-3,13,-1
AR,Argentina,Chubut Province,,2020-03-07,-1,7,-33,-16,2,4
AR,Argentina,Chubut Province,,2020-03-08,1,5,-20,-11,-2,2
AR,Argentina,Chubut Province,,2020-03-09,-4,5,-37,-10,7,1
AR,Argentina,Chubut Province,,2020-03-10,-2,3,-20,1,14,-1
AR,Argentina,Chubut Province,,2020-03-11,-4,0,-10,-2,14,-1
AR,Argentina,Chubut Province,,2020-03-12,-10,3,-28,-8,13,1
AR,Argentina,Chubut Province,,2020-03-13,-15,9,-45,-6,12,2
AR,Argentina,Chubut Province,,2020-03-14,-12,7,-40,-18,1,6
AR,Argentina,Chubut Province,,2020-03-15,-23,9,-27,-18,-7,5
AR,Argentina,Chubut Province,,2020-03-16,-33,-2,-54,-30,-5,8
AR,Argentina,Chubut Province,,2020-03-17,-41,-17,-56,-26,-12,10
AR,Argentina,Chubut Province,,2020-03-18,-48,-22,-63,-34,-21,14
AR,Argentina,Chubut Province,,2020-03-19,-50,-14,-71,-47,-28,16
AR,Argentina,Chubut Province,,2020-03-20,-79,-45,-86,-82,-58,29
AR,Argentina,Chubut Province,,2020-03-21,-82,-51,-90,-86,-55,30
AR,Argentina,Chubut Province,,2020-03-22,-87,-60,-92,-87,-55,26
AR,Argentina,Chubut Province,,2020-03-23,-87,-59,-92,-90,-76,33
AR,Argentina,Chubut Province,,2020-03-24,-87,-61,-90,-90,-76,31
AR,Argentina,Chubut Province,,2020-03-25,-80,-53,-86,-86,-64,29
AR,Argentina,Chubut Province,,2020-03-26,-81,-53,-87,-88,-64,30
AR,Argentina,Chubut Province,,2020-03-27,-79,-47,-87,-86,-62,32
AR,Argentina,Chubut Province,,2020-03-28,-79,-44,-89,-86,-55,30
AR,Argentina,Chubut Province,,2020-03-29,-92,-91,-94,-93,-62,28
AR,Argentina,Chubut Province,,2020-03-30,-78,-46,-89,-88,-64,29
AR,Argentina,Chubut Province,,2020-03-31,-83,-55,-88,-90,-71,30
AR,Argentina,Chubut Province,,2020-04-01,-77,-48,-84,-86,-59,27
AR,Argentina,Chubut Province,,2020-04-02,-77,-49,-84,-86,-59,29
AR,Argentina,Chubut Province,,2020-04-03,-75,-42,-84,-85,-57,30
AR,Argentina,Chubut Province,,2020-04-04,-76,-40,-87,-84,-49,28
AR,Argentina,Chubut Province,,2020-04-05,-86,-59,-92,-87,-51,25
AR,Argentina,Chubut Province,,2020-04-06,-72,-41,-85,-86,-54,27
AR,Argentina,Chubut Province,,2020-04-07,-82,-33,-75,-80,-53,24
AR,Argentina,Chubut Province,,2020-04-08,-82,-32,-73,-80,-52,24
AR,Argentina,Chubut Province,,2020-04-09,-82,-32,-77,-84,-59,27
AR,Argentina,Chubut Province,,2020-04-10,-89,-50,-85,-88,-70,34
AR,Argentina,Chubut Province,,2020-04-11,-85,-37,-86,-83,-47,28
AR,Argentina,Chubut Province,,2020-04-12,-90,-53,-90,-87,-46,25
AR,Argentina,Chubut Province,,2020-04-13,-83,-38,-79,-80,-48,25
AR,Argentina,Chubut Province,,2020-04-14,-82,-36,-73,-78,-47,24
AR,Argentina,Chubut Province,,2020-04-15,-83,-38,-74,-78,-48,25
AR,Argentina,Chubut Province,,2020-04-16,-83,-36,-91,-77,-48,25
AR,Argentina,Chubut Province,,2020-04-17,-83,-32,-92,-76,-47,28
AR,Argentina,Chubut Province,,2020-04-18,-85,-39,-94,-85,-42,27
AR,Argentina,Chubut Province,,2020-04-19,-89,-54,-95,-88,-47,25
AR,Argentina,Chubut Province,,2020-04-20,-83,-40,-92,-83,-44,25
AR,Argentina,Chubut Province,,2020-04-21,-81,-36,-90,-81,-44,23
AR,Argentina,Chubut Province,,2020-04-22,-81,-36,-89,-81,-44,23
AR,Argentina,Chubut Province,,2020-04-23,-82,-38,-90,-82,-43,24
AR,Argentina,Chubut Province,,2020-04-24,-81,-31,-91,-81,-42,26
AR,Argentina,Chubut Province,,2020-04-25,-84,-38,-94,-85,-40,26
AR,Argentina,Chubut Province,,2020-04-26,-89,-51,-95,-88,-43,23
AR,Argentina,Cordoba,,2020-02-15,5,-4,-7,-1,0,0
AR,Argentina,Cordoba,,2020-02-16,-11,-7,-25,-9,-6,3
AR,Argentina,Cordoba,,2020-02-17,-15,-9,-26,-6,9,2
AR,Argentina,Cordoba,,2020-02-18,2,4,-6,1,12,-1
AR,Argentina,Cordoba,,2020-02-19,-3,-2,-6,-1,13,-1
AR,Argentina,Cordoba,,2020-02-20,-4,-2,-10,-1,12,-1
AR,Argentina,Cordoba,,2020-02-21,4,2,-6,8,13,-1
AR,Argentina,Cordoba,,2020-02-22,12,9,8,11,0,0
AR,Argentina,Cordoba,,2020-02-23,13,13,17,-5,-3,2
AR,Argentina,Cordoba,,2020-02-24,-7,-15,32,-17,-53,6
AR,Argentina,Cordoba,,2020-02-25,-12,-13,-10,-7,-45,6
AR,Argentina,Cordoba,,2020-02-26,-2,2,-10,5,17,-2
AR,Argentina,Cordoba,,2020-02-27,-7,-3,-13,-4,16,0
AR,Argentina,Cordoba,,2020-02-28,0,-1,-13,-4,17,-1
AR,Argentina,Cordoba,,2020-02-29,3,1,-15,-12,3,2
AR,Argentina,Cordoba,,2020-03-01,-9,1,-21,-17,-3,4
AR,Argentina,Cordoba,,2020-03-02,-8,-2,-18,-3,23,-1
AR,Argentina,Cordoba,,2020-03-03,-6,-1,-20,-5,23,-2
AR,Argentina,Cordoba,,2020-03-04,-9,-2,-20,-6,24,-2
AR,Argentina,Cordoba,,2020-03-05,-9,-2,-19,-6,23,-2
AR,Argentina,Cordoba,,2020-03-06,0,1,-15,-3,25,-3
AR,Argentina,Cordoba,,2020-03-07,1,3,-19,-13,3,2
AR,Argentina,Cordoba,,2020-03-08,-4,-1,-19,-17,-2,2
AR,Argentina,Cordoba,,2020-03-09,-7,-3,-17,-4,22,-1
AR,Argentina,Cordoba,,2020-03-10,-4,2,-19,-5,24,-3
AR,Argentina,Cordoba,,2020-03-11,-19,-11,-35,-12,23,-1
AR,Argentina,Cordoba,,2020-03-12,-12,1,-24,-10,23,-2
AR,Argentina,Cordoba,,2020-03-13,-10,4,-22,-10,23,-2
AR,Argentina,Cordoba,,2020-03-14,-17,7,-38,-25,0,6
AR,Argentina,Cordoba,,2020-03-15,-43,2,-66,-42,-14,12
AR,Argentina,Cordoba,,2020-03-16,-35,-2,-45,-34,-1,8
AR,Argentina,Cordoba,,2020-03-17,-46,-20,-58,-43,-11,12
AR,Argentina,Cordoba,,2020-03-18,-45,-15,-52,-44,-15,12
AR,Argentina,Cordoba,,2020-03-19,-46,-1,-55,-48,-21,13
AR,Argentina,Cordoba,,2020-03-20,-80,-46,-79,-81,-58,29
AR,Argentina,Cordoba,,2020-03-21,-83,-52,-85,-85,-57,29
AR,Argentina,Cordoba,,2020-03-22,-88,-66,-91,-90,-58,30
AR,Argentina,Cordoba,,2020-03-23,-88,-67,-88,-90,-78,32
AR,Argentina,Cordoba,,2020-03-24,-88,-67,-89,-89,-79,31
AR,Argentina,Cordoba,,2020-03-25,-86,-58,-86,-87,-68,30
AR,Argentina,Cordoba,,2020-03-26,-83,-55,-83,-86,-67,30
AR,Argentina,Cordoba,,2020-03-27,-82,-53,-81,-85,-65,32
AR,Argentina,Cordoba,,2020-03-28,-83,-52,-85,-87,-58,30
AR,Argentina,Cordoba,,2020-03-29,-88,-66,-90,-91,-57,30
AR,Argentina,Cordoba,,2020-03-30,-82,-56,-83,-86,-67,29
AR,Argentina,Cordoba,,2020-03-31,-86,-64,-86,-89,-76,30
AR,Argentina,Cordoba,,2020-04-01,-80,-50,-81,-84,-63,28
AR,Argentina,Cordoba,,2020-04-02,-80,-51,-81,-84,-62,29
AR,Argentina,Cordoba,,2020-04-03,-77,-46,-78,-83,-60,30
AR,Argentina,Cordoba,,2020-04-04,-78,-45,-81,-84,-52,28
AR,Argentina,Cordoba,,2020-04-05,-85,-60,-88,-89,-52,29
AR,Argentina,Cordoba,,2020-04-06,-76,-48,-78,-82,-58,27
AR,Argentina,Cordoba,,2020-04-07,-82,-37,-74,-78,-58,25
AR,Argentina,Cordoba,,2020-04-08,-82,-34,-72,-78,-56,25
AR,Argentina,Cordoba,,2020-04-09,-83,-34,-75,-80,-60,27
AR,Argentina,Cordoba,,2020-04-10,-90,-64,-85,-88,-75,35
AR,Argentina,Cordoba,,2020-04-11,-83,-37,-80,-82,-50,28
AR,Argentina,Cordoba,,2020-04-12,-88,-57,-87,-88,-50,28
AR,Argentina,Cordoba,,2020-04-13,-82,-44,-74,-81,-53,26
AR,Argentina,Cordoba,,2020-04-14,-80,-37,-72,-78,-52,24
AR,Argentina,Cordoba,,2020-04-15,-81,-35,-74,-78,-51,24
AR,Argentina,Cordoba,,2020-04-16,-83,-35,-93,-78,-51,26
AR,Argentina,Cordoba,,2020-04-17,-83,-34,-93,-77,-50,28
AR,Argentina,Cordoba,,2020-04-18,-85,-41,-95,-81,-44,27
AR,Argentina,Cordoba,,2020-04-19,-89,-58,-96,-88,-48,28
AR,Argentina,Cordoba,,2020-04-20,-83,-44,-93,-79,-48,25
AR,Argentina,Cordoba,,2020-04-21,-83,-40,-93,-77,-48,23
AR,Argentina,Cordoba,,2020-04-22,-83,-39,-93,-77,-47,23
AR,Argentina,Cordoba,,2020-04-23,-84,-41,-93,-78,-47,25
AR,Argentina,Cordoba,,2020-04-24,-83,-38,-93,-78,-45,26
AR,Argentina,Cordoba,,2020-04-25,-85,-40,-95,-82,-42,27
AR,Argentina,Cordoba,,2020-04-26,-90,-60,-97,-89,-48,28
AR,Argentina,Corrientes,,2020-02-15,-12,-11,-31,-6,-7,5
AR,Argentina,Corrientes,,2020-02-16,-7,-6,-22,-9,-3,4
AR,Argentina,Corrientes,,2020-02-17,-2,-3,-10,0,13,0
AR,Argentina,Corrientes,,2020-02-18,-14,-11,-27,-5,5,2
AR,Argentina,Corrientes,,2020-02-19,5,0,10,7,18,-3
AR,Argentina,Corrientes,,2020-02-20,-2,-5,-1,0,15,-1
AR,Argentina,Corrientes,,2020-02-21,5,0,-10,4,15,-1
AR,Argentina,Corrientes,,2020-02-22,11,5,-2,8,0,0
AR,Argentina,Corrientes,,2020-02-23,24,10,12,-4,-1,1
AR,Argentina,Corrientes,,2020-02-24,2,-6,30,-13,-37,3
AR,Argentina,Corrientes,,2020-02-25,-14,-15,-9,-4,-31,4
AR,Argentina,Corrientes,,2020-02-26,3,0,2,5,20,-2
AR,Argentina,Corrientes,,2020-02-27,-2,-4,-5,-5,19,-1
AR,Argentina,Corrientes,,2020-02-28,3,-2,-13,-5,19,-1
AR,Argentina,Corrientes,,2020-02-29,5,0,-16,-8,5,1
AR,Argentina,Corrientes,,2020-03-01,-4,-1,-16,-14,3,3
AR,Argentina,Corrientes,,2020-03-02,0,-1,-10,-7,28,-3
AR,Argentina,Corrientes,,2020-03-03,-3,-2,-10,-9,27,-2
AR,Argentina,Corrientes,,2020-03-04,-3,-1,-6,-12,31,-3
AR,Argentina,Corrientes,,2020-03-05,-5,-4,-11,-10,29,-2
AR,Argentina,Corrientes,,2020-03-06,-4,-3,-16,-10,29,-2
AR,Argentina,Corrientes,,2020-03-07,-7,-4,-21,-17,4,2
AR,Argentina,Corrientes,,2020-03-08,-6,-5,-18,-21,3,3
AR,Argentina,Corrientes,,2020-03-09,-4,-3,-14,-10,28,-3
AR,Argentina,Corrientes,,2020-03-10,-6,-2,-15,-14,30,-3
AR,Argentina,Corrientes,,2020-03-11,-7,-2,-10,-9,31,-3
AR,Argentina,Corrientes,,2020-03-12,-13,-4,-18,-14,27,-2
AR,Argentina,Corrientes,,2020-03-13,-15,-4,-27,-23,26,-1
AR,Argentina,Corrientes,,2020-03-14,-21,-8,-38,-32,1,5
AR,Argentina,Corrientes,,2020-03-15,-34,-5,-47,-36,-7,9
AR,Argentina,Corrientes,,2020-03-16,-31,-7,-48,-33,1,6
AR,Argentina,Corrientes,,2020-03-17,-40,-19,-55,-38,-9,8
AR,Argentina,Corrientes,,2020-03-18,-47,-26,-60,-45,-18,11
AR,Argentina,Corrientes,,2020-03-19,-44,-13,-60,-48,-22,12
AR,Argentina,Corrientes,,2020-03-20,-72,-49,-80,-78,-47,23
AR,Argentina,Corrientes,,2020-03-21,-79,-57,-87,-86,-52,25
AR,Argentina,Corrientes,,2020-03-22,-84,-68,-91,-91,-51,26
AR,Argentina,Corrientes,,2020-03-23,-83,-66,-87,-91,-69,26
AR,Argentina,Corrientes,,2020-03-24,-84,-68,-87,-91,-70,26
AR,Argentina,Corrientes,,2020-03-25,-77,-57,-82,-85,-57,23
AR,Argentina,Corrientes,,2020-03-26,-78,-59,-81,-84,-58,24
AR,Argentina,Corrientes,,2020-03-27,-76,-55,-82,-84,-56,26
AR,Argentina,Corrientes,,2020-03-28,-77,-52,-85,-85,-52,25
AR,Argentina,Corrientes,,2020-03-29,-80,-63,-88,-89,-47,25
AR,Argentina,Corrientes,,2020-03-30,-72,-52,-80,-86,-55,22
AR,Argentina,Corrientes,,2020-03-31,-76,-59,-82,-86,-63,23
AR,Argentina,Corrientes,,2020-04-01,-68,-48,-76,-81,-50,20
AR,Argentina,Corrientes,,2020-04-02,-72,-54,-79,-83,-53,23
AR,Argentina,Corrientes,,2020-04-03,-68,-45,-77,-82,-47,23
AR,Argentina,Corrientes,,2020-04-04,-70,-45,-81,-84,-43,22
AR,Argentina,Corrientes,,2020-04-05,-76,-56,-86,-88,-39,23
AR,Argentina,Corrientes,,2020-04-06,-66,-44,-75,-81,-45,19
AR,Argentina,Corrientes,,2020-04-07,-76,-34,-70,-77,-44,19
AR,Argentina,Corrientes,,2020-04-08,-75,-29,-66,-75,-42,17
AR,Argentina,Corrientes,,2020-04-09,-79,-35,-73,-81,-52,21
AR,Argentina,Corrientes,,2020-04-10,-92,-76,-88,-91,-71,29
AR,Argentina,Corrientes,,2020-04-11,-82,-44,-81,-84,-42,23
AR,Argentina,Corrientes,,2020-04-12,-85,-57,-86,-89,-40,23
AR,Argentina,Corrientes,,2020-04-13,-78,-43,-70,-78,-39,19
AR,Argentina,Corrientes,,2020-04-14,-76,-37,-67,-76,-39,18
AR,Argentina,Corrientes,,2020-04-15,-75,-34,-65,-70,-36,17
AR,Argentina,Corrientes,,2020-04-16,-78,-37,-86,-73,-37,19
AR,Argentina,Corrientes,,2020-04-17,-79,-35,-89,-76,-36,22
AR,Argentina,Corrientes,,2020-04-18,-82,-40,-91,-78,-34,21
AR,Argentina,Corrientes,,2020-04-19,-85,-54,-93,-87,-36,22
AR,Argentina,Corrientes,,2020-04-20,-78,-40,-87,-77,-33,18
AR,Argentina,Corrientes,,2020-04-21,-78,-39,-86,-74,-34,17
AR,Argentina,Corrientes,,2020-04-22,-78,-37,-86,-72,-32,17
AR,Argentina,Corrientes,,2020-04-23,-79,-40,-87,-72,-33,18
AR,Argentina,Corrientes,,2020-04-24,-79,-38,-88,-74,-31,20
AR,Argentina,Corrientes,,2020-04-25,-81,-40,-91,-79,-31,19
